Region,TotalOwner,TotalRenter,MarriedOwner,MarriedRenter,MaleOwner,MaleRenter,FemaleOwner,FemaleRenter,NonfamilyOwner,NonfamilyRenter
"Columbus, MS Micro Area",62.2,37.8,81.8,18.2,44.3,55.7,35.8,64.2,50.8,49.2
"Columbus, NE Micro Area",71.8,28.2,85.7,14.3,75.9,24.1,55.6,44.4,53.9,46.1
"Columbus, OH Metro Area",61.8,38.2,81.2,18.8,52.6,47.4,42.4,57.6,45.1,54.9
"Concord, NH Micro Area",72.5,27.5,87,13,71.9,28.1,56.6,43.4,52.1,47.9
"Connersville, IN Micro Area",69,31,83.4,16.6,52,48,50.1,49.9,58.9,41.1
"Cookeville, TN Micro Area",67,33,82.7,17.3,62.6,37.4,52.4,47.6,52.2,47.8
"Coos Bay, OR Micro Area",68.3,31.7,82.9,17.1,61.6,38.4,42.4,57.6,58.9,41.1
"Cordele, GA Micro Area",56.8,43.2,77.5,22.5,67.4,32.6,38,62,43.5,56.5
"Corinth, MS Micro Area",66.8,33.2,85.3,14.7,61.7,38.3,46,54,53.6,46.4
"Cornelia, GA Micro Area",79.8,20.2,86.2,13.8,77.8,22.2,67,33,71.9,28.1
"Corning, NY Micro Area",73,27,88.3,11.7,63.5,36.5,54.8,45.2,59,41
"Corpus Christi, TX Metro Area",60.1,39.9,75.7,24.3,50.8,49.2,45.4,54.6,46.9,53.1
"Corsicana, TX Micro Area",69.6,30.4,83.5,16.5,58.3,41.7,52.5,47.5,52.6,47.4
"Cortland, NY Micro Area",66.2,33.8,86.3,13.7,57.5,42.5,51.4,48.6,46.4,53.6
"Corvallis, OR Metro Area",56.8,43.2,80,20,48.5,51.5,52.1,47.9,33,67
"Coshocton, OH Micro Area",74.4,25.6,87.4,12.6,54.6,45.4,47.3,52.7,64.5,35.5
"Craig, CO Micro Area",63.9,36.1,84.8,15.2,94.5,5.5,54.6,45.4,35.6,64.4
"Crawfordsville, IN Micro Area",74.5,25.5,88.9,11.1,64.8,35.2,44.6,55.4,61.8,38.2
"Crescent City, CA Micro Area",68.4,31.6,84,16,60.3,39.7,48.8,51.2,57.2,42.8
